OPE ID,School,academic_year,State,School Type,dl_sub_#,dl_sub_$,dl_unsub_#,dl_unsub_$,Total_$,Total_#
3968300,LAKEWOOD SCHOOL OF THERAPEUTIC MASSAGE,2018-2019,MI,Proprietary,46,64616,47,103252,167915,64709
3969600,UEI COLLEGE,2018-2019,CA,Proprietary,3404,5215972,3563,8091146,13310681,5222939
3970300,HANDS ON THERAPY,2018-2019,TX,Proprietary,94,134099,103,235090,369292,134296
3970400,WELLSPRING SCHOOL OF ALLIED HEALTH,2018-2019,MO,Proprietary,475,730565,541,1089720,1820826,731581
3971300,AMERICAN CAREER COLLEGE,2018-2019,CA,Proprietary,2922,4301821,3121,6401827,10706769,4307864
3973300,SAE  EXPRESSION COLLEGE,2018-2019,CA,Proprietary,727,1430124,771,1855547,3286442,1431622
3974300,"ST. GEORGE'S UNIVERSITY, SCHOOL OF VETERINARY MEDICINE",2018-2019,,Foreign-For-Profit,-, -,-, -,0,0
3974500,CALIFORNIA CAREER COLLEGE,2018-2019,CA,Proprietary,259,489577,262,672310,1162149,490098
3976300,MASSAGE THERAPY INSTITUTE OF COLORADO,2018-2019,CO,Proprietary,35,56199,37,89634,145870,56271
3980300,CALIFORNIA STATE UNIVERSITY CHANNEL ISLANDS,2018-2019,CA,Public,4857,11233956,3933,8256354,19494243,11242746
3982300,VISIBLE MUSIC COLLEGE,2018-2019,TN,Private-Nonprofit,245,479418,248,496575,976241,479911
3983300,"SCHOOL OF PROFESSIONAL HORTICULTURE, N. Y. BOTANICAL GARDEN",2018-2019,NY,Private-Nonprofit,18,33500,12,32000,65512,33530
3985300,CDA TECHNICAL INSTITUTE,2018-2019,FL,Proprietary,413,540302,432,694074,1234808,541147
3986300,AVIATOR COLLEGE OF AERONAUTICAL SCIENCE & TECHNOLOGY,2018-2019,FL,Proprietary,171,330320,187,363773,694280,330678
3987300,TEXAS HEALTH SCHOOL,2018-2019,TX,Proprietary,160,236069,151,301374,537594,236380
3995300,UNIVERSITY OF EAST-WEST MEDICINE,2018-2019,CA,Proprietary,-, -,-, -,0,0
3997300,ARKANSAS BEAUTY COLLEGE,2018-2019,AR,Proprietary,22,33024,20,32489,65533,33066
3999300,BEAUMONT ADULT SCHOOL,2018-2019,CA,Public,193,352782,144,303795,656721,353119
4001300,PALACE BEAUTY COLLEGE,2018-2019,CA,Proprietary,122,117713,86,87802,205601,117921
4002400,ECUMENICAL THEOLOGICAL SEMINARY,2018-2019,MI,Private-Nonprofit,-, -,2,5106,5108,2
4003300,BLAKE AUSTIN COLLEGE,2018-2019,CA,Proprietary,686,1101316,722,1448757,2550795,1102724
4005300,UNITED STATES UNIVERSITY,2018-2019,CA,Proprietary,42,88380,52,137512,225944,88474
4006300,NUVO COLLEGE OF COSMETOLOGY,2018-2019,MI,Proprietary,51,68638,52,71863,140553,68741
4014300,P&A SCHOLARS BEAUTY SCHOOL,2018-2019,MI,Proprietary,202,308961,219,435795,744975,309382
4014400,PALLADIUM TECHNICAL ACADEMY,2018-2019,CA,Proprietary,55,96250,59,116150,212459,96364
4015300,FRANKFURT SCHOOL OF FINANCE & MANAGEMENT GGMBH,2018-2019,,Foreign-Private,5,9750,5,9000,18755,9760
4016500,AMERICAN INSTITUTE OF BEAUTY,2018-2019,FL,Proprietary,405,507615,437,937433,1445485,508457
4021300,AUGUSTA SCHOOL OF MASSAGE,2018-2019,GA,Proprietary,40,46661,54,80628,127343,46755
4021400,"AMERICAN COLLEGE, DUBLIN LIMITED (THE)",2018-2019,,Foreign-Private,26,59500,24,67000,126524,59550
4021500,CENTRAL EUROPEAN UNIVERSITY,2018-2019,,Foreign-Private,-, -,-, -,0,0
4028300,MOUNTAIN STATE SCHOOL OF MASSAGE,2018-2019,WV,Proprietary,39,56259,42,108650,164951,56340
4029300,TRENDSETTERS OF FL. SCHOOL OF BEAUTY & BARBERING,2018-2019,FL,Proprietary,53,72593,49,109830,182472,72695
4031300,SALON PROFESSIONAL ACADEMY (THE),2018-2019,ND,Proprietary,184,333669,188,365919,699776,334041
4032300,YORK ST JOHN UNIVERSITY,2018-2019,,Foreign-Public,125,235621,137,180629,416387,235883
4035300,TENNESSEE CAREER INSTITUTE,2018-2019,TN,Proprietary,5,7744,5,12507,20256,7754
4036300,SOUTHEAST TEXAS CAREER INSTITUTE,2018-2019,TX,Proprietary,115,158258,122,246740,405120,158495
4037300,LOS ANGELES FILM SCHOOL (THE),2018-2019,CA,Proprietary,8026,15205765,8266,19345297,34559328,15222057
4037500,ACADEMY OF HAIR DESIGN,2018-2019,MO,Proprietary,497,700901,530,1026913,1728344,701928
4038300,ATA COLLEGE,2018-2019,KY,Proprietary,4529,4901502,4418,7107291,12013211,4910449
4038400,AVI CAREER TRAINING,2018-2019,VA,Proprietary,60,72239,72,177286,249597,72371
4038500,PIERPONT COMMUNITY & TECHNICAL COLLEGE,2018-2019,WV,Public,1073,1754060,1283,2537125,4292468,1756416
4038600,BRIDGEVALLEY COMMUNITY AND TECHNICAL COLLEGE,2018-2019,WV,Public,956,1373639,721,1389417,2763777,1375316
4038700,IDEAL BEAUTY ACADEMY,2018-2019,KY,Proprietary,30,36454,42,86577,123073,36526
4039300,SULLIVAN AND COGLIANO TRAINING CENTERS,2018-2019,FL,Proprietary,2,1773,-, -,1773,1775
4040300,COMPASS CAREER COLLEGE,2018-2019,LA,Proprietary,299,442557,334,742046,1184937,443190
4041300,BERKS CAREER & TECHNOLOGY CENTER,2018-2019,PA,Public,9,11437,10,22659,34106,11456
4041400,MOUNTWEST COMMUNITY AND TECHNICAL COLLEGE,2018-2019,WV,Public,997,1304742,669,1023805,2329216,1306408
4043300,ACE INSTITUTE OF TECHNOLOGY,2018-2019,NY,Proprietary,256,432995,268,481546,914809,433519
